name	url	last commit date	commit hash	tree-sitter.json	grammar dir	abi	parser.c	grammar.json	external scanner
abnf	https://github.com/jmitchell/tree-sitter-abnf	2019-02-22	f68bb6e3cfcc2a3eebf11f47e27efffb128c001f	no	.	9	yes	yes	no
ada	https://github.com/TamaMcGlinn/tree-sitter-ada	2022-06-25	11b6ab9afaae072d38211b5ac2a438467b0137e3	no	.	13	yes	yes	no
ada	https://github.com/briot/tree-sitter-ada	2024-05-23	e8e2515465cc2d7c444498e68bdb9f1d86767f95	no	.	14	yes	yes	no
agda	https://github.com/tree-sitter/tree-sitter-agda	2024-11-11	b9b32fa042c2952a7bfca86847ea325e44ccc897	yes	.	14	yes	yes	c
angular	https://github.com/steelsojka/tree-sitter-angular	2020-12-17	624ff108fe949727217cddb302f20e4f16997b1c	no	.	11	yes	yes	no
angular	https://github.com/dlvandenberg/tree-sitter-angular	2025-06-03	820566bb4eb3d288822dbfee42417a5a9491aea6	yes	.	15	yes	yes	c
apex	https://github.com/Ziemniakoss/tree-sitter-apex	2022-04-16	d8d76edfcbc3c86485a246acfccbdc725d133b48	no	.	13	yes	yes	no
apex	https://github.com/jsuarez-chipiron/tree-sitter-apex	2023-05-12	8861b02a3dde407d6755cb19f400d101936ce3fd	no	.	13	yes	yes	no
apex	https://github.com/aheber/tree-sitter-sfapex	2025-02-12	3597575a429766dd7ecce9f5bb97f6fec4419d5d	yes	./apex	14	yes	yes	no
arduino	https://github.com/tree-sitter-grammars/tree-sitter-arduino	2024-11-19	017696bdf47ca2b10948c5a511f9ab387722d0f3	yes	.	14	yes	yes	c
asciidoc	https://github.com/cathaysia/tree-sitter-asciidoc	2025-04-29	5b6ccea9953b939959f447f7bfea699ae6968a99	no	./tree-sitter-asciidoc	14	yes	yes	c
asciidoc_inline	https://github.com/cathaysia/tree-sitter-asciidoc	2025-04-29	5b6ccea9953b939959f447f7bfea699ae6968a99	no	./tree-sitter-asciidoc_inline	14	yes	yes	c
asm	https://github.com/rush-rs/tree-sitter-asm	2025-03-09	04962e15f6b464cf1d75eada59506dc25090e186	yes	.	14	yes	yes	no
astro	https://github.com/virchau13/tree-sitter-astro	2025-04-19	213f6e6973d9b456c6e50e86f19f66877e7ef0ee	no	.	14	yes	yes	c
authzed	https://github.com/mleonidas/tree-sitter-authzed	2023-10-06	1dec7e1af96c56924e3322cd85fdce15d0a31d00	no	.	14	yes	yes	no
awk	https://github.com/Beaglefoot/tree-sitter-awk	2024-11-02	34bbdc7cce8e803096f47b625979e34c1be38127	no	.	14	yes	yes	c
bash	https://github.com/tree-sitter/tree-sitter-bash	2025-06-04	56b54c61fb48bce0c63e3dfa2240b5d274384763	yes	.	15	yes	yes	c
bass	https://github.com/vito/tree-sitter-bass	2024-05-03	28dc7059722be090d04cd751aed915b2fee2f89a	no	.	14	yes	yes	no
bazelrc	https://github.com/zaucy/tree-sitter-bazelrc	2024-04-01	3cea80b67f53178518e2c5f5011b51a4f8f6c0a5	no	.	14	yes	yes	no
beancount	https://github.com/zwpaper/tree-sitter-beancount	2022-03-01	c184999166c75edefef0936ff7e533698403d016	no	.	13	yes	yes	no
beancount	https://github.com/polarmutex/tree-sitter-beancount	2024-10-28	9bc460a05b5f096d69568b5fb36105032ff4ff97	no	.	14	yes	yes	c
beancount	https://github.com/yagebu/tree-sitter-beancount	2025-06-05	f313e125806662fd8dbee2ff8d6f31014a246ac0	yes	.	15	yes	yes	no
biber	https://github.com/Aerijo/tree-sitter-biber	2019-10-24	d9338a598c0473572c6e48b20aead8955447bd95	no	.	10	yes	yes	no
bibtex	https://github.com/latex-lsp/tree-sitter-bibtex	2025-04-19	8d04ed27b3bc7929f14b7df9236797dab9f3fa66	yes	.	15	yes	yes	no
bicep	https://github.com/tree-sitter-grammars/tree-sitter-bicep	2024-12-21	bff59884307c0ab009bd5e81afd9324b46a6c0f9	yes	.	14	yes	yes	c
bison	https://gitlab.com/btuin2/tree-sitter-bison	2024-01-13	0681f9d1d21bbccdc44ab5241426409b4313f9b5	no	.	14	yes	yes	c
